query_id,NDCG@3,Recall@3,Precision@3,NDCG@5,Recall@5,Precision@5,NDCG@10,Recall@10,Precision@10,NDCG@100,Recall@100,Precision@100,MAP,MRR
PLAIN-2,0.5307212739772434,0.08333333333333333,0.6666666666666666,0.6608397947263839,0.16666666666666666,0.8,0.5716349530699038,0.25,0.6,0.6046180468244209,0.6666666666666666,0.16,0.37240080325262137,0.5
PLAIN-12,0.0,0.0,0.0,0.14606834984270645,0.03333333333333333,0.2,0.09478836436955078,0.03333333333333333,0.1,0.13147265396948457,0.16666666666666666,0.05,0.02015212480843677,0.25
PLAIN-23,0.7653606369886217,0.022222222222222223,0.6666666666666666,0.6992148198508501,0.03333333333333333,0.6,0.5321408435198608,0.044444444444444446,0.4,0.17776043953834983,0.1,0.09,0.051738832731160096,1.0
PLAIN-33,0.2960819109658652,0.03125,0.3333333333333333,0.34519134224686937,0.0625,0.4,0.22400556151517553,0.0625,0.2,0.2095202131927963,0.21875,0.07,0.05063658997252747,0.5
PLAIN-44,0.0,0.0,0.0,0.0,0.0,0.0,0.14279514403613733,0.034482758620689655,0.2,0.18105400420366782,0.20689655172413793,0.12,0.039436958676757644,0.14285714285714285
PLAIN-56,0.46927872602275644,0.02,0.3333333333333333,0.6164336326286644,0.06,0.6,0.6212166613240646,0.12,0.6,0.3668497684863681,0.3,0.15,0.15884903984903986,1.0
PLAIN-68,0.0,0.0,0.0,0.27727342735504823,0.03636363636363636,0.4,0.24618570546556082,0.05454545454545454,0.3,0.23514839782561034,0.2545454545454545,0.14,0.06274860350453236,0.25
PLAIN-78,0.0,0.0,0.0,0.13120507751234178,0.016129032258064516,0.2,0.08514311764162098,0.016129032258064516,0.1,0.08204938413079924,0.08064516129032258,0.05,0.011110125362016535,0.2
PLAIN-91,0.7039180890341347,0.03125,0.6666666666666666,0.6548086577531307,0.046875,0.6,0.6390097281865127,0.09375,0.6,0.34544833370401185,0.28125,0.18,0.13519498499207,1.0
PLAIN-102,0.0,0.0,0.0,0.13120507751234178,0.041666666666666664,0.2,0.08514311764162098,0.041666666666666664,0.1,0.09319727240718068,0.125,0.03,0.012310165170158519,0.2
PLAIN-112,0.7653606369886217,0.03571428571428571,0.6666666666666666,0.6992148198508501,0.05357142857142857,0.6,0.4537425745411855,0.05357142857142857,0.3,0.19421196874862814,0.10714285714285714,0.06,0.060321817695413206,1.0
PLAIN-123,0.7653606369886217,0.0392156862745098,0.6666666666666666,0.5531464700081437,0.0392156862745098,0.4,0.501749354207772,0.0784313725490196,0.4,0.23422666016862811,0.1568627450980392,0.08,0.07218651391456629,1.0
PLAIN-133,0.23463936301137822,0.027777777777777776,0.3333333333333333,0.16958010263680806,0.027777777777777776,0.2,0.11004588314904008,0.027777777777777776,0.1,0.09098609665887317,0.08333333333333333,0.03,0.015467171717171716,0.3333333333333333
PLAIN-143,0.46927872602275644,0.0196078431372549,0.3333333333333333,0.48522855511632257,0.0392156862745098,0.4,0.46664232174566633,0.0784313725490196,0.4,0.37782585972394755,0.39215686274509803,0.2,0.1197329972168904,1.0
PLAIN-153,1.0,0.06382978723404255,1.0,1.0,0.10638297872340426,1.0,0.933745776545611,0.19148936170212766,0.9,0.5383736592438365,0.425531914893617,0.2,0.339957573918547,1.0
PLAIN-165,0.5307212739772434,0.05555555555555555,0.6666666666666666,0.6608397947263839,0.1111111111111111,0.8,0.5806020001118019,0.16666666666666666,0.6,0.3689278284345051,0.3333333333333333,0.12,0.1691351314422318,0.5
PLAIN-175,0.46927872602275644,0.02702702702702703,0.3333333333333333,0.6164336326286644,0.08108108108108109,0.6,0.40002324830925196,0.08108108108108109,0.3,0.19501130872688155,0.10810810810810811,0.04,0.06276276276276276,1.0
PLAIN-186,0.0,0.0,0.0,0.13120507751234178,0.041666666666666664,0.2,0.08514311764162098,0.041666666666666664,0.1,0.06798442145445759,0.08333333333333333,0.02,0.00920138888888889,0.2
PLAIN-196,0.7039180890341347,0.028985507246376812,0.6666666666666666,0.6548086577531307,0.043478260869565216,0.6,0.424926013816671,0.043478260869565216,0.3,0.1642849892524114,0.08695652173913043,0.06,0.047233060820017346,1.0
PLAIN-207,0.23463936301137822,0.01818181818181818,0.3333333333333333,0.30078518014914984,0.03636363636363636,0.4,0.3944952343807791,0.09090909090909091,0.5,0.3261091048670393,0.32727272727272727,0.18,0.13001541376936634,0.3333333333333333
PLAIN-217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15342404547932018,0.25,0.09,0.020415686327064038,0.04
PLAIN-227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01743989121772866,0.025,0.01,0.0007142857142857143,0.02857142857142857
PLAIN-238,0.0,0.0,0.0,0.14606834984270645,0.018518518518518517,0.2,0.09478836436955078,0.018518518518518517,0.1,0.043383456340350776,0.037037037037037035,0.02,0.005110630110630111,0.25
PLAIN-248,0.2960819109658652,0.03225806451612903,0.3333333333333333,0.21398626473452756,0.03225806451612903,0.2,0.2051166673279436,0.06451612903225806,0.2,0.3214782110374656,0.3870967741935484,0.12,0.09866743696173791,0.5
PLAIN-259,0.7039180890341347,0.14285714285714285,0.6666666666666666,0.5087403079104241,0.14285714285714285,0.4,0.33013764944712026,0.14285714285714285,0.2,0.2958385532036891,0.21428571428571427,0.03,0.12190476190476189,1.0
PLAIN-270,0.0,0.0,0.0,0.13120507751234178,0.019230769230769232,0.2,0.08514311764162098,0.019230769230769232,0.1,0.18041223515076277,0.23076923076923078,0.12,0.03160369592201006,0.2
PLAIN-280,0.0,0.0,0.0,0.27727342735504823,0.1,0.4,0.32776097292662437,0.2,0.4,0.3559671477012753,0.45,0.09,0.1398837085724563,0.25
PLAIN-291,0.7039180890341347,0.15384615384615385,0.6666666666666666,0.5087403079104241,0.15384615384615385,0.4,0.33013764944712026,0.15384615384615385,0.2,0.41248334407028253,0.46153846153846156,0.06,0.15492737241751658,1.0
PLAIN-307,0.0,0.0,0.0,0.0,0.0,0.0,0.4508533838815827,1.0,0.3,0.4508533838815827,1.0,0.03,0.2388888888888889,0.16666666666666666
PLAIN-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10615306912758866,0.16666666666666666,0.07,0.010853889437477074,0.02857142857142857
PLAIN-332,0.0,0.0,0.0,0.2640681225725909,0.5,0.2,0.2640681225725909,0.5,0.1,0.2640681225725909,0.5,0.01,0.125,0.25
PLAIN-344,0.2960819109658652,0.01639344262295082,0.3333333333333333,0.36005461457723403,0.03278688524590164,0.4,0.23365080824310533,0.03278688524590164,0.2,0.15300348939618438,0.13114754098360656,0.08,0.032002851033499646,0.5
PLAIN-358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-371,0.38685280723454163,0.5,0.3333333333333333,0.38685280723454163,0.5,0.2,0.38685280723454163,0.5,0.1,0.4949454053386807,1.0,0.02,0.27,0.5
PLAIN-383,0.2960819109658652,0.2,0.3333333333333333,0.21398626473452756,0.2,0.2,0.21398626473452756,0.2,0.1,0.21398626473452756,0.2,0.01,0.1,0.5
PLAIN-395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-407,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.2,0.46927872602275644,0.3333333333333333,0.1,0.46927872602275644,0.3333333333333333,0.01,0.3333333333333333,1.0
PLAIN-418,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.4367467095119258,0.6666666666666666,0.4,0.4367467095119258,0.6666666666666666,0.2,0.5255344131890501,1.0,0.03,0.30409356725146197,0.3333333333333333
PLAIN-430,0.7653606369886217,0.25,0.6666666666666666,0.5531464700081437,0.25,0.4,0.5026317885449211,0.375,0.3,0.5451132066208432,0.5,0.04,0.3206967213114754,1.0
PLAIN-441,0.7039180890341347,0.4,0.6666666666666666,0.6548086577531307,0.6,0.6,0.7618017901203944,0.8,0.4,0.8465918414387984,1.0,0.05,0.65,1.0
PLAIN-457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-468,0.46927872602275644,0.1,0.3333333333333333,0.3391602052736161,0.1,0.2,0.22009176629808017,0.1,0.1,0.4704824902528315,0.7,0.07,0.160221703915228,1.0
PLAIN-478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-488,1.0,0.2,1.0,1.0,0.3333333333333333,1.0,0.933745776545611,0.6,0.9,0.816215284390869,0.7333333333333333,0.11,0.7103496503496504,1.0
PLAIN-499,0.23463936301137822,0.029411764705882353,0.3333333333333333,0.3156484524795145,0.058823529411764705,0.4,0.2684550357175426,0.08823529411764706,0.3,0.1668806973023005,0.14705882352941177,0.05,0.0457172342621259,0.3333333333333333
PLAIN-510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745351606183934,0.16666666666666666,0.01,0.011904761904761904,0.07142857142857142
PLAIN-520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-531,0.46927872602275644,0.003246753246753247,0.3333333333333333,0.6164336326286644,0.00974025974025974,0.6,0.4636440365082036,0.012987012987012988,0.4,0.396432803054178,0.11688311688311688,0.36,0.057032328639131886,1.0
PLAIN-541,0.0,0.0,0.0,0.13120507751234178,0.16666666666666666,0.2,0.11706259313796354,0.16666666666666666,0.1,0.24543618419045488,0.5,0.03,0.06515151515151515,0.2
PLAIN-551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
